Posição,Município,UF,Quantidade
471,Timóteo,MG,4
472,Croatá,CE,4
473,Torres,RS,4
474,Arapongas,PR,4
475,Triunfo,RS,4
476,Arantina,MG,4
477,Itamonte,MG,4
478,Lavrinhas,SP,4
479,Aragarças,GO,4
480,Guaratinguetá,SP,4
481,Montenegro,RS,4
482,Ipameri,GO,4
483,Diamantino,MT,4
484,Itabuna,BA,4
485,União dos Palmares,AL,4
486,Areiópolis,SP,4
487,Guararapes,SP,4
488,Itamaraju,BA,4
489,Itirapina,SP,4
490,Padre Carvalho,MG,4
491,Igarassu,PE,4
492,Planura,MG,4
493,Irajuba,BA,4
494,Piumhi,MG,4
495,Inconfidentes,MG,4
496,Cairu,BA,4
497,Pires do Rio,GO,4
498,Balneário Camboriú,SC,4
499,Santa Bárbara do Tugúrio,MG,4
500,Sales Oliveira,SP,4
501,Cafelândia,SP,4
502,Bagé,RS,4
503,Itapetininga,SP,4
504,Catas Altas,MG,4
505,Pinheiro Machado,RS,4
506,Cacequi,RS,4
507,Iguatama,MG,4
508,Cajazeiras,PB,4
509,Sobral,CE,4
510,Santa Rita do Sapucaí,MG,4
511,Campina Grande,PB,4
512,Resplendor,MG,4
513,Candeias do Jamari,RO,4
514,Bela Vista de Minas,MG,4
515,Rio Manso,MG,4
516,Prudente de Morais,MG,4
517,Belmonte,BA,4
518,Carambeí,PR,4
519,Cardeal da Silva,BA,4
520,Ponto dos Volantes,MG,4
521,Cambé,PR,4
522,Rolim de Moura,RO,4
523,Cariacica,ES,4
524,Porto Nacional,TO,4
525,Rolândia,PR,4
526,Sorriso,MT,4
527,Ibatiba,ES,4
528,Caucaia,CE,4
529,Piraquara,PR,4
530,Ibitinga,SP,4
531,Centralina,MG,4
532,Santo Antônio do Leverger,MT,4
533,Guaçuí,ES,4
534,Parnaíba,PI,4
535,Itumirim,MG,4
536,Bom Jesus do Amparo,MG,4
537,Colatina,ES,4
538,Serro,MG,4
539,Santo Estêvão,BA,4
540,Brusque,SC,4
541,Iturama,MG,4
542,Itutinga,MG,4
543,Colíder,MT,4
544,Bragança Paulista,SP,4
545,Ivoti,RS,4
546,Ariquemes,RO,4
547,Santana,AP,4
548,Inhapim,MG,4
549,Sertãozinho,SP,4
550,Ilhéus,BA,3
551,Santo Ângelo,RS,3
552,Abre Campo,MG,3
553,Aguaí,SP,3
554,Seropédica,RJ,3
555,Bom Jesus da Lapa,BA,3
556,Belo Vale,MG,3
557,Belo Oriente,MG,3
558,Goianinha,RN,3
559,Marialva,PR,3
560,Andirá,PR,3
561,Lagoa da Confusão,TO,3
562,Maruim,SE,3
563,Água Clara,MS,3
564,Campos Gerais,MG,3
565,Campo Florido,MG,3
566,Matias Barbosa,MG,3
567,Vargem,SP,3
568,Rio Branco do Sul,PR,3
569,Jacupiranga,SP,3
570,Faxinal,PR,3
571,Guarapuava,PR,3
572,Iconha,ES,3
573,Alfredo Vasconcelos,MG,3
574,Fervedouro,MG,3
575,Ipojuca,PE,3
576,Bálsamo,SP,3
577,Cachoeira de Minas,MG,3
578,Altamira,PA,3
579,Cachoeira de Pajeú,MG,3
580,Alto Garças,MT,3
581,Lins,SP,3
582,Ituverava,SP,3
583,Silveiras,SP,3
584,Indianópolis,MG,3
585,Igaratinga,MG,3
586,Magé,RJ,3
587,Fundão,ES,3
588,Roseira,SP,3
589,Santo Amaro das Brotas,SE,3
590,Santo Antônio da Patrulha,RS,3
591,Itiquira,MT,3
592,Jacarezinho,PR,3
593,Mandaguari,PR,3
594,Venâncio Aires,RS,3
595,Sinop,MT,3
596,Juquiá,SP,3
597,Aiuruoca,MG,3
598,Siderópolis,SC,3
599,Maracanaú,CE,3
600,Rosário do Catete,SE,3
601,Capinópolis,MG,3
602,São Joaquim da Barra,SP,3
603,Nova Granada,SP,3
604,Pedra Preta,MT,3
605,Jaraguari,MS,3
606,Corupá,SC,3
607,Nova Mutum,MT,3
608,Araranguá,SC,3
609,Tijucas,SC,3
610,Avaré,SP,3
611,Peruíbe,SP,3
612,Tambaú,SP,3
613,São Sebastião do Oeste,MG,3
614,Cravinhos,SP,3
615,Pindorama,SP,3
616,Açailândia,MA,3
617,Tiros,MG,3
618,Trairi,CE,3
619,Restinga Seca,RS,3
620,Pedra Azul,MG,3
621,Paulista,PE,3
622,Mutum,MG,3
623,Tanhaçu,BA,3
624,Ouro Branco,MG,3
625,Conceição das Alagoas,MG,3
626,Tapiraí,MG,3
627,Tapira,MG,3
628,Jaú,SP,3
629,Paraguaçu,MG,3
630,Arraial do Cabo,RJ,3
631,Paraty,RJ,3
632,Paty do Alferes,RJ,3
633,Araújos,MG,3
634,Pariquera-Açu,SP,3
635,Tangará da Serra,MT,3
636,Gurinhatã,MG,3
637,Coroatá,MA,3
638,Jataizinho,PR,3
639,Itapebi,BA,3
640,Muzambinho,MG,3
641,São Pedro da Água Branca,MA,3
642,Passa Tempo,MG,3
643,Pradópolis,SP,3
644,Carmo do Paranaíba,MG,3
645,Mesquita,RJ,3
646,Cardoso,SP,3
647,Muritiba,BA,3
648,São José do Norte,RS,3
649,Pains,MG,3
650,Carapicuíba,SP,3
651,São João do Itaperiú,SC,3
652,Barretos,SP,3
653,Presidente Figueiredo,AM,3
654,Capão Bonito,SP,3
655,Professor Jamil,GO,3
656,Engenheiro Navarro,MG,3
657,Quatis,RJ,3
658,Quatro Barras,PR,3
659,Monte Azul,MG,3
660,Ponte Nova,MG,3
661,Ubatuba,SP,3
662,Estrela d'Oeste,SP,3
663,Balsa Nova,PR,3
664,Hidrolândia,GO,3
665,Casa Branca,SP,3
666,Ponta Porã,MS,3
667,Ubá,MG,3
668,Cássia,MG,3
669,Caruaru,PE,3
670,Vacaria,RS,3
671,Barroso,MG,3
672,Jales,SP,3
673,Imbaú,PR,2
674,Ibiraçu,ES,2
675,Gramado,RS,2
676,Ibiraci,MG,2
677,Ibirama,SC,2
678,Guaraí,TO,2
679,Guará,SP,2
680,Gurjão,PB,2
681,Guaiçara,SP,2
682,Ibiaí,MG,2
683,Ibaté,SP,2
684,Indiaroba,SE,2
685,Guarantã,SP,2
686,Herculândia,SP,2
687,Inácio Martins,PR,2
688,Ingaí,MG,2
689,Guapiara,SP,2
690,Guabiruba,SC,2
691,Casa Nova,BA,2
692,Goiatuba,GO,2
693,Breu Branco,PA,2
694,Bento de Abreu,SP,2
695,Birigui,SP,2
696,Boa Esperança,MG,2
697,Boa Nova,BA,2
698,Bocaina,SP,2
699,Bom Conselho,PE,2
700,Bom Jesus da Penha,MG,2
701,Bom Princípio,RS,2
702,Bom Sucesso,MG,2
703,Bom Sucesso de Itararé,SP,2
704,Bozano,RS,2
705,Brasilândia de Minas,MG,2
706,Buerarema,BA,2
707,Barão de Cocais,MG,2
708,Buritama,SP,2
709,Buriti Alegre,GO,2
710,Buritis,MG,2
711,Buritizeiro,MG,2
712,Cabeceira Grande,MG,2
713,Cabo Verde,MG,2
714,Cabreúva,SP,2
715,Cafezal do Sul,PR,2
716,Caicó,RN,2
717,Caieiras,SP,2
718,Cajuru,SP,2
719,Caldas,MG,2
720,Barão de Cotegipe,RS,2
721,Barro,CE,2
722,Goiandira,GO,2
723,Apiacá,ES,2
724,Acarape,CE,2
725,Acopiara,CE,2
726,Aimorés,MG,2
727,Alagoa Nova,PB,2
728,Alenquer,PA,2
729,Alto Taquari,MT,2
730,Altos,PI,2
731,Amparo,SP,2
732,Américo de Campos,SP,2
733,Analândia,SP,2
734,Antônio Carlos,MG,2
735,Aparecida,SP,2
736,Apuí,AM,2
737,Bariri,SP,2
738,Aquidauana,MS,2
739,Aracati,CE,2
740,Aramina,SP,2
741,Aratiba,RS,2
742,Areado,MG,2
743,Arujá,SP,2
744,Assis,SP,2
745,Atilio Vivacqua,ES,2
746,Açucena,MG,2
747,Babaçulândia,TO,2
748,Bambuí,MG,2
749,Barbalha,CE,2
750,Califórnia,PR,2
751,Camocim de São Félix,PE,2
752,Campina Verde,MG,2
753,Estrela,RS,2
754,Crucilândia,MG,2
755,Cruzeiro,SP,2
756,Cruzeiro do Sul,RS,2
757,Cruzília,MG,2
758,Curitibanos,SC,2
759,Delta,MG,2
760,Dias d'Ávila,BA,2
761,Dois Córregos,SP,2
762,Dois Irmãos,RS,2
763,Embu-Guaçu,SP,2
764,Entre Rios,BA,2
765,Espera Feliz,MG,2
766,Estância Velha,RS,2
767,Campo Largo,PR,2
768,Extremoz,RN,2
